dde,9953256,8122,83,135
ddf,8787832,9292,226,368
ddg,9872584,7172,31,62
dea,9982776,10174,22,80
deb,9977563,10801,13,33
dec,9607683,9732,14,48
ded,9766625,9267,109,291
dee,9802374,8669,37,60
def,9937211,8826,49,105
deg,9730641,9596,165,272
dfa,9871132,9006,10,29
dfb,9990008,6793,8,16
dfc,9870735,7368,80,154
dfd,9969218,9006,16,66
dfe,9970425,8280,7,17
dff,9893323,7744,47,108
dfg,9928688,7457,26,68
dga,9978711,8430,66,87
dgb,9897687,8235,13,24
dgc,9786945,8853,35,91
dgd,9598164,8337,133,232
dge,9963770,7758,16,43
dgf,9771651,10583,65,113
dgg,9921009,9525,6,13
eaa,9970180,7446,96,243
eab,9964677,8718,227,305
eac,9581760,10259,7,19
ead,9824643,9261,97,139
eae,9914850,8294,64,149
eaf,9886050,9941,451,767
eag,9206832,10044,38,56
eba,9788449,9746,361,766
ebb,9818256,7916,12,41
ebc,9471587,7961,136,264
ebd,9966985,7464,195,367
ebe,9754436,8258,79,134
ebf,9928601,7557,483,736
ebg,9295893,9555,5,11
eca,9962200,9283,36,79
ecb,9771757,9235,172,348
ecc,9882443,11044,274,509
ecd,9874140,9043,112,169
ece,9748547,8582,90,185
ecf,9791699,9568,101,155
ecg,9919160,8389,64,181
eda,9961406,7874,6,15
edb,9931232,8769,66,153
edc,9991316,7986,238,493
edd,9826169,9550,82,121
ede,9927513,8795,204,313
edf,9821853,8324,481,913
edg,9982249,8091,242,412
eea,9802169,7043,76,264
eeb,9694066,8383,273,421
eec,9892283,9987,497,927
eed,9919222,8197,940,1592
eee,9668730,9258,121,225
eef,9791133,8179,43,81
eeg,9952365,10133,240,498
efa,9610525,9427,26,104
efb,9854686,9130,196,283
efc,9880275,9865,357,656
efd,9617150,8890,163,292
efe,9277841,8206,163,288
eff,9961048,9306,118,259
efg,9767822,9487,94,239
ega,9491708,10775,45,104
egb,9419850,7458,181,311
egc,9995209,8044,120,363
egd,9959066,8718,137,273
ege,9469371,9918,113,158
egf,9948393,7878,148,238
egg,9934241,9274,200,369
faa,9997749,7971,8,24
fab,9840327,9048,315,431
fac,9960803,8111,120,260
fad,9794275,9672,18,59
fae,9313792,8315,87,191
faf,9908093,10842,60,86
fag,9929112,8177,80,119
fba,9988273,9453,71,165
fbb,9953131,8414,108,294
fbc,9997410,7695,166,219
fbd,9997086,9071,181,307
fbe,9832231,8949,150,295
fbf,9924557,6672,24,61
fbg,9995574,8575,118,257
fca,9912532,7399,213,291
fcb,9651501,9738,155,289
fcc,9833108,8993,58,106
fcd,9982970,8623,29,110
fce,9918458,7757,225,363
fcf,9983964,10387,18,52
fcg,9946077,8837,103,156
fda,9674475,9633,166,234
fdb,9962011,7960,85,149
fdc,9331716,8208,39,59
fdd,9279165,10446,145,244
fde,9877482,7681,93,245
fdf,9043979,10256,401,644
fdg,9678436,8025,11,35
fea,9457502,8465,188,343
feb,9637260,8791,116,185
fec,9909734,9992,581,1891
fed,9955892,8831,153,399
fee,9754107,7874,225,319
fef,9863844,9406,239,389
feg,9931589,8915,178,348
ffa,9830784,7626,53,155
ffb,9820569,9173,103,268
ffc,9601973,7805,87,170
ffd,9836647,8443,84,125
ffe,9855652,8823,103,250
fff,9928817,9295,18,38
ffg,9831533,9844,17,84
fga,9987159,8933,168,226
fgb,9766631,9436,106,281
fgc,9769603,9035,274,364
fgd,9849154,10656,226,454
fge,9753021,9539,63,150
fgf,9882764,9974,171,236
fgg,9486093,8400,37,54
gaa,9959551,8919,89,236
gab,9841446,11148,40,126
gac,9973812,8738,90,145
gad,9891815,9826,76,130
gae,9854831,7710,24,47
gaf,9486904,8384,77,222
gag,9596436,10561,333,617
gba,9819852,10120,136,276
gbb,9924739,9243,50,185
gbc,9858801,8233,45,93
gbd,9944379,8715,6,16
gbe,9737506,7268,24,42
gbf,9846899,7902,225,428
gbg,9998503,8214,31,56
gca,9545828,9006,11,31
gcb,9926950,9586,108,166
gcc,9923776,10446,148,362
gcd,9999890,6669,35,52
gce,9956107,9138,714,1290
gcf,9885516,8950,25,88
gcg,9960052,9784,251,367
gda,9539129,7630,117,240
gdb,9809519,8341,72,100
gdc,9881166,7150,99,269
gdd,9820956,9682,277,419
gde,9883105,8588,182,280
gdf,9733877,10930,34,92
gdg,9718932,9382,170,256
gea,9946018,11286,62,150
geb,9439661,7900,215,450
gec,9495675,9508,13,42
ged,9698021,8467,53,147
gee,9726463,9244,68,101
gef,9957188,8671,37,76
geg,9998211,7245,342,519
gfa,9766009,9904,97,331
gfb,9987803,9305,164,230
gfc,9532064,9931,75,192
gfd,9690714,9055,139,259
gfe,9496540,10334,710,1415
gff,9998335,9505,200,294
gfg,9510545,8524,297,486
gga,9840871,7302,181,382
ggb,9998234,8945,138,226
ggc,9672687,8262,197,501
ggd,9926323,8692,22,47
gge,9712620,9219,174,285
ggf,9905708,10323,128,285
ggg,9815462,9695,370,645
